Spectral Radiance calculated by Planck's Radiation Law and its 
low frequency approximation at a temperature of T = 2.73 K.

NB: Spectral Radiance and LF Approx. have units W.m^-2.Hz^-1.sr^-1
Frequency (GHz)      Spectral Radiance    Low Freq. Approx.    
2.46493e+00          4.98661e-21          5.09622e-21          
2.48497e+00          5.06712e-21          5.17943e-21          
2.50501e+00          5.14826e-21          5.26330e-21          
2.52505e+00          5.23004e-21          5.34785e-21          
2.54509e+00          5.31244e-21          5.43307e-21          
2.56513e+00          5.39547e-21          5.51897e-21          
2.58517e+00          5.47913e-21          5.60554e-21          
2.60521e+00          5.56342e-21          5.69279e-21          
2.62525e+00          5.64834e-21          5.78070e-21          
2.64529e+00          5.73388e-21          5.86930e-21          
2.66533e+00          5.82006e-21          5.95856e-21          
2.68537e+00          5.90686e-21          6.04850e-21          
2.70541e+00          5.99428e-21          6.13911e-21          
2.72545e+00          6.08234e-21          6.23040e-21          
2.74549e+00          6.17102e-21          6.32236e-21          
2.76553e+00          6.26032e-21          6.41500e-21          
2.78557e+00          6.35025e-21          6.50830e-21          
2.80561e+00          6.44081e-21          6.60229e-21          
2.82565e+00          6.53199e-21          6.69694e-21          
2.84569e+00          6.62379e-21          6.79227e-21          
2.86573e+00          6.71622e-21          6.88827e-21          
2.88577e+00          6.80927e-21          6.98495e-21          
2.90581e+00          6.90295e-21          7.08230e-21          
2.92585e+00          6.99724e-21          7.18032e-21          
2.94589e+00          7.09217e-21          7.27902e-21          
2.96593e+00          7.18771e-21          7.37839e-21          
2.98597e+00          7.28387e-21          7.47844e-21          
3.00601e+00          7.38066e-21          7.57915e-21          
3.02605e+00          7.47807e-21          7.68055e-21          
3.04609e+00          7.57610e-21          7.78261e-21          
3.06613e+00          7.67475e-21          7.88535e-21          
3.08617e+00          7.77402e-21          7.98877e-21          
3.10621e+00          7.87390e-21          8.09285e-21          
3.12625e+00          7.97441e-21          8.19761e-21          
3.14629e+00          8.07554e-21          8.30305e-21          
3.16633e+00          8.17729e-21          8.40916e-21          
3.18637e+00          8.27965e-21          8.51594e-21          
3.20641e+00          8.38264e-21          8.62339e-21          
3.22645e+00          8.48624e-21          8.73152e-21          
